,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over
2433,1400000US26021010300,"Census Tract 103, Berrien County, Michigan",0,28,52,21,19,51,22,17,32,20,39,26,482,9,12,22,26,25,144,57,15,33,69,52,18,364,28,13,7,69,0,43,12,17,70,65,21,19
2429,1400000US26021010400,"Census Tract 104, Berrien County, Michigan",6,0,14,4,0,30,0,6,38,28,3,0,171,0,14,9,43,5,4,0,0,47,4,0,45,306,24,0,16,40,0,4,0,0,71,32,20,99
2397,1400000US26021010500,"Census Tract 105, Berrien County, Michigan",3,16,25,26,0,12,15,3,0,53,8,0,116,3,19,11,22,7,9,5,4,3,6,11,16,214,6,4,26,36,0,0,19,4,24,20,20,55
2418,1400000US26021010600,"Census Tract 106, Berrien County, Michigan",0,56,16,81,8,0,0,31,92,48,33,9,436,0,62,58,48,6,10,0,28,92,81,40,11,346,58,25,29,19,1,0,0,0,83,44,26,61
2131,1400000US26021001100,"Census Tract 11, Berrien County, Michigan",0,0,5,0,33,7,0,0,40,58,45,59,320,0,8,19,0,0,14,0,0,6,64,44,165,321,0,16,12,0,35,14,14,0,61,71,7,91
2398,1400000US26021011000,"Census Tract 110, Berrien County, Michigan",0,4,1,6,7,20,3,2,31,22,16,16,265,0,5,12,9,52,14,13,5,24,43,4,84,135,11,1,19,4,10,20,0,0,20,18,12,20
2399,1400000US26021011100,"Census Tract 111, Berrien County, Michigan",0,0,20,0,35,18,0,0,15,10,69,35,288,0,0,21,0,9,11,0,18,7,35,78,109,377,24,0,29,0,11,0,19,5,13,43,71,162
2419,1400000US26021011200,"Census Tract 112, Berrien County, Michigan",25,0,0,0,31,0,11,0,0,13,12,13,57,12,0,0,0,0,0,10,0,0,0,10,25,108,0,0,0,0,66,0,0,0,0,9,0,33
2424,1400000US26021011300,"Census Tract 113, Berrien County, Michigan",21,0,0,24,0,0,0,4,13,12,12,21,282,63,0,0,19,39,0,7,10,15,37,23,69,265,37,12,0,78,0,0,0,13,35,31,29,30
2425,1400000US26021011400,"Census Tract 114, Berrien County, Michigan",0,9,23,20,4,4,13,0,37,19,0,18,183,0,22,14,13,0,8,3,0,73,45,5,0,158,4,7,0,3,3,0,3,4,59,40,0,35
2400,1400000US26021011500,"Census Tract 115, Berrien County, Michigan",2,5,19,3,19,0,0,0,16,4,11,17,72,5,4,3,10,9,6,0,0,20,6,1,8,118,6,14,0,12,21,5,4,0,23,10,11,12
2411,1400000US26021011600,"Census Tract 116, Berrien County, Michigan",0,5,8,0,0,39,5,0,17,5,0,0,124,8,0,23,5,0,14,5,5,64,0,0,0,178,0,0,19,8,10,16,0,22,90,13,0,0
2410,1400000US26021001300,"Census Tract 13, Berrien County, Michigan",0,0,0,4,8,0,0,0,12,9,51,30,138,0,26,0,0,18,0,0,0,7,40,20,27,171,22,10,0,0,0,0,0,0,59,53,4,23
2129,1400000US26021001400,"Census Tract 14, Berrien County, Michigan",6,5,37,0,55,0,0,0,61,51,59,120,341,9,0,36,0,34,0,11,0,59,45,53,94,382,9,0,0,0,15,12,0,0,17,97,85,147
2415,1400000US26021001500,"Census Tract 15, Berrien County, Michigan",11,12,0,0,2,6,0,0,16,16,21,87,194,0,6,0,22,3,2,0,0,31,56,19,55,231,16,3,0,0,6,0,48,0,9,51,31,67
2132,1400000US26021001600,"Census Tract 16, Berrien County, Michigan",0,0,4,0,16,0,38,0,8,38,14,30,134,0,0,0,0,0,26,17,0,20,27,9,35,228,0,0,5,0,0,6,18,0,50,24,34,91
2606,1400000US26021001700,"Census Tract 17, Berrien County, Michigan",20,0,9,18,18,0,0,0,25,155,41,241,333,10,0,9,0,15,14,8,13,33,92,32,107,298,0,0,0,10,16,10,0,0,10,65,37,150
2404,1400000US26021001800,"Census Tract 18, Berrien County, Michigan",23,0,0,0,9,23,28,0,0,50,60,69,478,32,0,0,0,0,70,93,0,33,93,55,102,515,0,0,0,10,0,30,0,0,130,84,73,188
2130,1400000US26021001900,"Census Tract 19, Berrien County, Michigan",15,0,2,0,0,5,12,0,2,0,6,13,88,8,0,0,0,6,6,6,0,54,8,0,0,83,13,0,0,1,9,11,0,7,20,16,6,0
2405,1400000US26021002000,"Census Tract 20, Berrien County, Michigan",0,44,0,36,0,0,4,7,28,9,10,17,300,0,28,25,144,0,0,10,0,66,9,9,9,274,8,0,85,36,0,0,12,10,24,38,56,5
2426,1400000US26021020100,"Census Tract 201, Berrien County, Michigan",0,10,35,0,0,0,0,21,62,11,18,0,216,0,10,64,0,8,11,0,0,46,5,72,0,257,0,20,30,0,56,0,0,0,51,62,38,0
2401,1400000US26021020200,"Census Tract 202, Berrien County, Michigan",0,0,0,18,0,0,59,75,119,59,22,0,344,0,52,17,27,31,0,0,38,13,48,16,102,629,0,0,0,163,23,0,133,19,71,41,58,121
2124,1400000US26021020300,"Census Tract 203, Berrien County, Michigan",0,0,6,0,0,14,5,0,39,28,7,11,161,5,5,0,42,0,17,5,0,13,38,21,15,215,0,0,0,47,0,0,0,0,18,71,25,54
2430,1400000US26021020400,"Census Tract 204, Berrien County, Michigan",0,10,0,0,0,20,0,0,54,65,18,26,247,0,13,0,35,0,33,0,0,37,30,19,80,270,13,21,0,0,0,31,40,0,7,44,64,50
2431,1400000US26021020500,"Census Tract 205, Berrien County, Michigan",47,16,43,10,9,24,0,10,20,33,21,0,254,77,33,31,5,50,18,28,4,0,0,8,0,197,70,0,0,30,21,39,14,0,7,0,16,0
2434,1400000US26021020600,"Census Tract 206, Berrien County, Michigan",67,0,20,24,37,0,11,0,71,0,10,6,316,107,11,18,17,9,9,27,0,19,48,15,36,230,7,41,31,30,22,0,0,18,32,22,27,0
2402,1400000US26021020700,"Census Tract 207, Berrien County, Michigan",0,45,0,51,17,58,0,0,35,0,44,0,336,97,37,31,0,17,80,0,11,38,19,6,0,215,96,0,0,0,0,14,0,0,83,8,14,0
2412,1400000US26021020900,"Census Tract 209, Berrien County, Michigan",124,18,0,15,21,0,0,0,28,6,0,0,278,45,19,0,16,0,63,0,15,93,7,20,0,341,135,0,29,0,89,23,0,13,45,7,0,0
2435,1400000US26021002100,"Census Tract 21, Berrien County, Michigan",41,0,0,52,16,0,0,0,12,0,19,0,139,50,12,0,21,0,36,0,0,20,0,0,0,164,0,0,15,82,0,26,0,0,41,0,0,0
2125,1400000US26021021000,"Census Tract 210, Berrien County, Michigan",42,0,12,213,35,32,0,42,54,10,0,0,392,77,18,65,21,0,16,0,14,181,0,0,0,542,35,17,16,49,166,50,0,0,63,122,24,0
2126,1400000US26021021100,"Census Tract 211, Berrien County, Michigan",0,0,0,0,2,48,0,0,25,0,44,2,158,6,0,0,0,1,0,0,2,102,9,37,1,61,14,0,0,22,0,0,0,2,9,9,4,1
2127,1400000US26021021200,"Census Tract 212, Berrien County, Michigan",0,4,6,0,0,2,41,15,27,9,28,0,87,16,0,0,0,3,0,16,14,24,9,5,0,107,0,4,9,0,0,3,31,8,20,0,22,10
2403,1400000US26021021300,"Census Tract 213, Berrien County, Michigan",28,14,30,43,0,6,0,24,23,18,32,2,304,26,14,29,41,10,45,0,26,40,31,33,9,143,20,0,29,0,29,11,0,0,22,23,2,7
2413,1400000US26021021400,"Census Tract 214, Berrien County, Michigan",28,15,104,23,0,0,0,0,61,17,21,28,236,12,31,26,43,2,0,3,3,37,29,23,27,224,22,8,0,40,11,0,0,0,34,11,36,62
2428,1400000US26021002200,"Census Tract 22, Berrien County, Michigan",164,60,127,91,143,0,0,0,0,0,0,0,532,244,22,122,87,37,0,0,20,0,0,0,0,330,77,49,71,26,0,5,0,37,65,0,0,0
2416,1400000US26021002300,"Census Tract 23, Berrien County, Michigan",123,0,73,0,0,7,15,0,32,0,0,5,268,76,0,87,10,22,8,17,0,48,0,0,0,104,44,25,0,0,14,4,17,0,0,0,0,0
2423,1400000US26021002400,"Census Tract 24, Berrien County, Michigan",0,10,6,0,0,8,8,0,16,0,18,10,57,0,0,0,13,0,0,0,0,33,6,0,5,110,0,0,0,19,0,0,0,0,49,25,0,17
2406,1400000US26021002500,"Census Tract 25, Berrien County, Michigan",67,105,0,49,0,0,0,0,45,45,0,16,135,0,50,0,0,0,10,0,0,58,0,0,17,85,14,0,0,14,4,18,0,4,5,0,5,21
2420,1400000US26021000300,"Census Tract 3, Berrien County, Michigan",52,17,22,20,6,23,0,6,0,20,0,0,186,85,30,18,11,13,16,0,6,7,0,0,0,202,31,0,0,20,39,87,0,0,17,8,0,0
2128,1400000US26021000400,"Census Tract 4, Berrien County, Michigan",165,91,51,0,54,29,0,0,0,0,0,0,234,46,90,60,0,17,0,0,8,8,0,0,5,164,42,18,50,0,21,0,0,13,20,0,0,0
2421,1400000US26021000500,"Census Tract 5, Berrien County, Michigan",42,49,0,0,0,0,47,0,0,17,31,0,189,38,129,0,0,0,0,0,0,0,0,16,6,266,105,80,0,0,0,0,72,0,0,0,0,9
2427,1400000US26021000600,"Census Tract 6, Berrien County, Michigan",40,93,0,16,11,0,0,0,29,0,0,0,466,55,192,0,131,0,35,0,0,14,16,0,23,164,40,19,9,54,0,0,0,0,32,0,10,0
2414,1400000US26021000700,"Census Tract 7, Berrien County, Michigan",8,0,0,0,10,0,0,0,32,115,20,0,121,4,0,0,0,18,0,0,13,16,24,46,0,247,20,0,0,0,11,39,0,0,68,26,75,8
2422,1400000US26021000800,"Census Tract 8, Berrien County, Michigan",0,33,0,0,0,16,0,0,83,127,92,39,143,0,19,0,0,0,0,0,0,31,35,0,58,188,0,0,0,0,0,0,0,0,43,17,72,56
2408,1400000US26021000900,"Census Tract 9, Berrien County, Michigan",0,0,0,0,44,0,2,0,16,12,12,0,76,0,0,0,0,0,0,0,0,34,15,0,27,63,0,0,0,0,15,11,0,0,14,0,0,23
164,1400000US26021990000,"Census Tract 9900, Berrien County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,1400000US26023950100,"Census Tract 9501, Branch County, Michigan",44,12,4,11,13,0,0,4,66,14,13,5,332,32,14,10,21,6,10,15,5,142,53,5,19,260,24,14,18,0,3,0,5,0,79,57,27,33
659,1400000US26023950200,"Census Tract 9502, Branch County, Michigan",85,17,15,72,24,40,10,0,36,6,0,14,250,40,55,13,28,2,13,0,2,58,21,12,6,315,26,73,9,37,18,3,11,2,67,34,17,18
661,1400000US26023950300,"Census Tract 9503, Branch County, Michigan",0,0,29,2,0,27,8,5,66,29,5,10,348,20,29,20,10,6,71,54,9,29,39,45,16,291,28,3,20,31,26,19,31,5,47,31,37,13
660,1400000US26023950800,"Census Tract 9508, Branch County, Michigan",167,86,41,26,12,12,27,0,39,13,28,28,592,170,84,43,42,17,46,25,10,45,76,34,0,484,132,22,26,37,39,8,21,16,52,21,57,53
655,1400000US26023950900,"Census Tract 9509, Branch County, Michigan",3,0,32,9,7,14,2,12,18,19,3,10,148,0,0,24,9,11,0,0,16,0,15,25,48,115,0,0,1,0,12,0,0,6,22,27,15,32
657,1400000US26023951000,"Census Tract 9510, Branch County, Michigan",10,2,0,0,14,13,29,0,17,22,0,13,100,0,12,0,0,6,30,0,0,16,6,0,30,128,0,15,0,0,0,10,6,4,18,55,6,14
652,1400000US26023951100,"Census Tract 9511, Branch County, Michigan",7,12,7,43,0,6,0,3,19,40,23,8,212,1,0,9,38,18,3,5,0,64,11,41,22,257,6,4,8,75,11,6,0,10,63,31,10,33
658,1400000US26023951200,"Census Tract 9512, Branch County, Michigan",59,59,32,35,55,0,4,5,91,34,1,10,310,13,18,44,10,24,0,9,7,96,66,2,21,421,10,11,70,0,8,10,13,17,148,56,35,43
165,1400000US26023951300,"Census Tract 9513, Branch County, Michigan",11,0,0,63,8,0,0,0,77,65,38,0,233,23,0,0,45,27,0,0,0,10,13,80,35,283,29,0,0,11,9,0,3,20,66,41,26,78
166,1400000US26023951400,"Census Tract 9514, Branch County, Michigan",46,0,7,25,51,33,49,0,129,10,0,33,359,10,8,6,21,123,24,77,0,55,15,14,6,339,19,16,22,23,67,9,0,12,106,30,0,35
167,1400000US26023951500,"Census Tract 9515, Branch County, Michigan",9,0,0,0,58,0,30,0,36,0,0,33,244,16,0,13,0,9,0,71,0,79,0,0,56,228,28,5,14,0,0,20,0,0,47,22,19,73
168,1400000US26023951600,"Census Tract 9516, Branch County, Michigan",0,53,100,8,35,7,0,47,106,23,11,0,290,0,0,44,73,0,65,39,0,65,4,0,0,163,20,16,0,15,32,14,19,0,23,5,19,0
1337,1400000US26025001000,"Census Tract 10, Calhoun County, Michigan",178,148,67,0,5,10,0,0,11,22,0,0,227,66,95,3,0,0,35,0,0,19,0,9,0,400,55,82,8,68,14,0,63,0,43,41,26,0
87,1400000US26025001100,"Census Tract 11, Calhoun County, Michigan",98,0,78,14,35,19,0,0,45,8,0,15,217,0,0,10,0,47,31,0,0,43,15,20,51,393,0,27,71,25,61,31,0,0,140,0,0,38
1338,1400000US26025001200,"Census Tract 12, Calhoun County, Michigan",0,18,0,0,37,0,0,0,10,34,17,0,35,18,17,0,0,0,0,0,0,0,0,0,0,234,58,71,0,0,0,0,0,0,53,52,0,0
1997,1400000US26025001300,"Census Tract 13, Calhoun County, Michigan",57,9,66,31,0,14,14,0,86,44,84,0,231,8,12,6,19,0,0,7,9,87,0,83,0,299,63,6,40,30,0,0,0,0,37,33,90,0
1339,1400000US26025001400,"Census Tract 14, Calhoun County, Michigan",0,33,0,60,48,47,44,0,127,21,0,13,433,0,41,75,9,0,54,0,70,66,75,21,22,310,5,43,0,32,9,0,0,109,58,44,10,0
1340,1400000US26025001500,"Census Tract 15, Calhoun County, Michigan",34,0,0,0,0,0,0,37,50,46,0,51,444,47,0,33,0,0,0,0,0,60,49,99,156,417,47,0,17,0,0,0,0,0,95,24,25,209
1328,1400000US26025001600,"Census Tract 16, Calhoun County, Michigan",0,0,0,74,0,47,0,26,10,5,0,11,257,0,0,0,109,0,0,66,0,32,9,17,24,171,0,0,0,22,0,0,65,0,10,13,26,35
1330,1400000US26025001700,"Census Tract 17, Calhoun County, Michigan",0,0,13,0,0,14,0,11,211,57,13,40,302,0,8,0,0,0,13,0,0,234,39,0,8,441,13,0,0,0,25,28,0,0,73,84,90,128
1342,1400000US26025001800,"Census Tract 18, Calhoun County, Michigan",47,16,0,18,0,0,0,15,15,105,29,116,302,111,15,0,0,0,0,0,0,79,23,24,50,346,38,87,0,0,34,0,0,0,97,11,65,14
1992,1400000US26025001900,"Census Tract 19, Calhoun County, Michigan",0,0,12,0,0,0,0,0,49,42,13,0,221,0,0,11,0,0,0,0,0,48,19,11,132,376,0,0,0,0,0,0,0,0,157,31,16,172
1326,1400000US26025000200,"Census Tract 2, Calhoun County, Michigan",114,118,27,8,17,0,10,0,0,9,0,0,530,94,191,112,17,36,18,10,9,0,31,0,12,252,54,18,16,8,24,32,0,14,49,24,13,0
1343,1400000US26025002000,"Census Tract 20, Calhoun County, Michigan",0,0,0,0,0,0,54,0,66,72,0,0,336,73,0,0,0,0,49,65,35,51,18,0,45,516,0,0,0,89,0,86,51,0,61,65,76,88
1329,1400000US26025002100,"Census Tract 21, Calhoun County, Michigan",0,0,42,0,10,16,0,7,14,0,0,0,48,13,0,0,0,0,14,0,0,18,0,3,0,37,4,7,9,0,0,10,0,0,4,0,3,0
1993,1400000US26025002200,"Census Tract 22, Calhoun County, Michigan",0,0,48,0,56,10,0,0,38,37,11,79,246,0,0,0,0,36,0,0,0,63,94,10,43,166,0,0,34,0,7,9,0,11,25,48,0,32
1994,1400000US26025002300,"Census Tract 23, Calhoun County, Michigan",0,0,0,0,0,0,0,0,71,0,80,12,331,0,14,0,49,44,0,46,0,63,33,41,41,308,8,14,0,10,22,0,47,0,78,51,52,26
1995,1400000US26025002400,"Census Tract 24, Calhoun County, Michigan",12,0,0,0,11,0,14,53,34,42,0,36,225,0,0,0,0,61,0,14,43,0,63,0,44,224,0,10,50,0,0,0,7,20,24,40,29,44
1332,1400000US26025002500,"Census Tract 25, Calhoun County, Michigan",47,12,12,0,0,0,12,11,33,49,8,28,88,0,0,0,0,0,0,12,0,15,0,12,49,271,10,0,0,0,7,0,39,0,111,13,9,82
1333,1400000US26025002600,"Census Tract 26, Calhoun County, Michigan",0,35,6,3,16,0,0,16,28,27,23,5,131,0,13,5,21,5,0,0,5,51,15,5,11,108,0,12,14,14,37,0,0,0,27,0,0,4
1334,1400000US26025002700,"Census Tract 27, Calhoun County, Michigan",17,12,120,17,0,13,0,0,55,70,69,51,371,7,58,34,0,0,33,0,0,51,5,92,91,503,4,24,37,4,0,22,0,4,36,127,74,171
1331,1400000US26025002800,"Census Tract 28, Calhoun County, Michigan",32,11,33,33,23,7,0,10,52,50,44,42,422,22,15,18,20,28,25,19,38,101,39,26,71,312,13,7,4,23,5,40,8,53,82,28,29,20
1323,1400000US26025002900,"Census Tract 29, Calhoun County, Michigan",40,20,20,10,21,5,4,9,63,12,4,24,246,29,14,13,0,12,24,12,12,43,60,15,12,245,35,9,28,1,25,7,2,17,40,28,25,28
1988,1400000US26025000300,"Census Tract 3, Calhoun County, Michigan",21,0,15,24,25,0,17,0,0,0,0,0,162,25,21,12,16,30,0,14,19,25,0,0,0,174,50,22,17,37,18,0,0,8,22,0,0,0
1346,1400000US26025003000,"Census Tract 30, Calhoun County, Michigan",0,0,3,27,8,21,0,0,43,19,3,20,159,4,0,6,3,18,32,3,11,34,22,8,18,175,8,0,0,4,16,33,0,0,45,36,25,8
88,1400000US26025003100,"Census Tract 31, Calhoun County, Michigan",14,22,15,0,10,27,11,31,48,23,0,0,270,42,15,8,0,28,9,5,3,101,34,19,6,288,25,11,23,6,8,20,26,16,65,31,41,16
1344,1400000US26025003200,"Census Tract 32, Calhoun County, Michigan",21,2,0,12,6,23,3,0,65,30,22,25,212,18,14,0,19,0,33,0,0,55,47,6,20,89,7,6,0,7,7,14,7,0,16,7,5,13
1324,1400000US26025003300,"Census Tract 33, Calhoun County, Michigan",13,30,54,20,7,9,0,4,4,0,47,0,229,33,73,0,35,28,0,0,0,60,0,0,0,241,11,98,29,34,32,4,0,7,14,12,0,0
1987,1400000US26025003400,"Census Tract 34, Calhoun County, Michigan",0,0,21,0,0,7,0,0,7,0,0,24,67,0,0,10,0,0,0,0,0,11,20,26,0,94,13,0,0,9,0,0,8,0,30,24,10,0
1996,1400000US26025003500,"Census Tract 35, Calhoun County, Michigan",21,0,36,25,18,5,0,0,8,6,4,0,379,10,4,44,30,10,114,0,37,101,10,19,0,168,0,0,13,27,0,29,8,20,37,29,0,5
1341,1400000US26025003600,"Census Tract 36, Calhoun County, Michigan",110,0,9,16,20,37,27,0,0,0,0,0,180,119,31,24,0,0,6,0,0,0,0,0,0,189,31,27,34,18,52,0,0,9,3,10,5,0
435,1400000US26025003700,"Census Tract 37, Calhoun County, Michigan",42,3,96,9,38,0,0,10,21,39,10,29,226,26,6,14,22,22,0,6,10,36,41,23,20,379,20,0,28,10,0,7,0,11,77,66,94,66
1325,1400000US26025003800,"Census Tract 38, Calhoun County, Michigan",0,0,0,26,48,0,4,5,19,36,32,68,291,0,0,3,7,19,3,10,0,32,51,39,127,319,0,0,0,0,9,8,0,0,44,36,34,188
1335,1400000US26025003900,"Census Tract 39, Calhoun County, Michigan",0,6,38,23,0,8,38,31,102,42,36,58,315,0,12,18,31,0,0,0,27,33,95,48,51,275,8,0,0,20,0,0,0,0,50,41,50,106
1345,1400000US26025004000,"Census Tract 40, Calhoun County, Michigan",0,22,0,12,8,0,12,0,135,5,13,18,213,0,28,36,0,6,11,0,0,105,13,3,11,304,0,8,61,16,11,4,0,21,82,25,59,17
169,1400000US26025004100,"Census Tract 41, Calhoun County, Michigan",10,52,36,69,70,8,0,33,30,18,8,12,191,14,58,5,0,75,0,0,0,0,5,22,12,119,18,49,0,0,6,0,21,4,0,7,14,0
1989,1400000US26025000500,"Census Tract 5, Calhoun County, Michigan",58,73,91,0,81,21,0,0,0,32,11,0,471,144,60,110,0,109,25,0,0,23,0,0,0,442,99,123,29,57,77,26,0,0,16,12,3,0
1327,1400000US26025000600,"Census Tract 6, Calhoun County, Michigan",47,43,59,53,0,0,19,0,85,13,0,0,446,71,34,77,137,0,0,16,0,64,40,7,0,113,104,0,9,0,0,0,0,0,0,0,0,0
1990,1400000US26025000700,"Census Tract 7, Calhoun County, Michigan",59,3,27,0,33,9,0,17,75,0,0,0,177,0,16,9,0,0,79,0,0,64,9,0,0,186,6,16,48,0,0,30,18,0,56,12,0,0
1991,1400000US26025000800,"Census Tract 8, Calhoun County, Michigan",46,0,0,16,73,0,0,0,21,22,40,0,202,0,22,0,20,0,0,0,18,106,36,0,0,257,0,0,0,0,64,0,0,15,128,0,30,20
1336,1400000US26025000900,"Census Tract 9, Calhoun County, Michigan",0,0,0,21,0,36,0,0,15,10,27,10,254,0,8,24,38,0,26,0,0,97,12,33,16,420,46,16,28,0,0,0,6,8,107,139,39,31
753,1400000US26027001000,"Census Tract 10, Cass County, Michigan",0,32,0,77,19,5,0,0,27,28,47,6,438,0,14,8,16,0,88,5,0,82,26,129,70,171,0,0,4,23,0,42,5,10,24,9,17,37
751,1400000US26027001100,"Census Tract 11, Cass County, Michigan",18,0,25,47,6,0,0,18,60,4,21,42,183,45,0,0,22,5,14,0,24,32,17,5,19,315,15,0,24,5,0,7,14,12,110,45,31,52
752,1400000US26027001200,"Census Tract 12, Cass County, Michigan",0,0,0,9,0,12,0,0,56,0,37,20,199,0,0,0,0,0,0,0,0,68,63,34,34,142,14,0,0,8,22,0,13,0,19,17,38,11
754,1400000US26027001500,"Census Tract 15, Cass County, Michigan",26,0,8,13,0,0,25,0,31,32,0,0,305,0,0,0,35,54,0,12,0,106,42,23,33,313,0,21,0,0,9,0,0,16,159,108,0,0
170,1400000US26027001600,"Census Tract 16, Cass County, Michigan",26,5,12,13,27,15,17,0,48,22,0,20,198,17,0,17,1,25,3,7,0,52,19,15,42,207,16,4,16,5,13,13,1,12,45,19,12,51
171,1400000US26027001700,"Census Tract 17, Cass County, Michigan",0,9,14,10,12,9,4,10,60,46,12,29,352,26,21,14,14,40,27,6,12,121,38,15,18,370,28,12,10,23,25,18,4,9,152,28,42,19
172,1400000US26027001800,"Census Tract 18, Cass County, Michigan",32,5,0,6,46,87,0,16,258,31,27,45,607,24,6,3,6,20,20,3,15,210,101,67,132,608,15,0,0,13,24,26,4,7,86,95,130,208
173,1400000US26027001900,"Census Tract 19, Cass County, Michigan",58,0,8,0,52,0,36,98,63,35,26,32,456,129,30,0,0,9,0,0,120,83,4,26,55,312,71,58,7,0,20,0,0,0,93,26,37,0
174,1400000US26027002000,"Census Tract 20, Cass County, Michigan",12,56,26,25,36,0,0,10,46,22,27,27,350,0,66,63,29,13,32,0,0,47,73,27,0,293,0,72,30,21,19,39,3,0,30,18,16,45
175,1400000US26027002100,"Census Tract 21, Cass County, Michigan",85,42,3,16,7,8,0,22,29,21,45,8,334,3,26,0,0,30,58,0,21,75,36,45,40,486,124,0,19,6,41,62,4,0,63,112,48,7
176,1400000US26027002200,"Census Tract 22, Cass County, Michigan",99,5,0,18,14,24,35,0,40,21,11,4,496,169,0,0,21,0,54,0,0,79,81,78,14,521,88,0,2,35,26,10,43,0,180,86,35,16
177,1400000US26029000100,"Census Tract 1, Charlevoix County, Michigan",8,0,2,19,0,15,0,0,19,23,26,9,135,2,12,7,12,4,5,2,2,52,22,7,8,144,6,14,6,12,2,12,0,3,40,14,35,0
2047,1400000US26029001000,"Census Tract 10, Charlevoix County, Michigan",0,32,35,8,16,0,0,8,20,10,0,20,156,11,3,39,17,19,8,0,8,21,8,18,4,178,6,4,0,21,10,5,0,12,71,4,13,32
2048,1400000US26029001100,"Census Tract 11, Charlevoix County, Michigan",25,4,6,10,0,0,0,0,50,33,12,8,151,43,12,0,0,0,0,0,0,80,8,0,8,162,40,9,0,6,0,0,0,0,24,33,0,50
2049,1400000US26029001200,"Census Tract 12, Charlevoix County, Michigan",0,8,1,0,6,0,0,4,88,37,23,21,263,33,0,0,5,19,0,0,0,42,76,54,34,274,15,0,0,9,9,0,0,0,74,72,62,33
2050,1400000US26029001300,"Census Tract 13, Charlevoix County, Michigan",0,0,0,7,10,5,0,0,27,10,0,6,131,0,0,6,4,52,9,0,4,13,20,0,23,141,0,0,22,0,50,0,0,4,25,40,0,0
2088,1400000US26029001400,"Census Tract 14, Charlevoix County, Michigan",0,0,0,0,11,0,0,2,0,10,5,0,93,0,0,0,0,0,0,3,4,15,57,12,2,77,0,0,7,7,0,0,4,0,5,33,0,21
2089,1400000US26029001500,"Census Tract 15, Charlevoix County, Michigan",7,7,44,0,0,25,0,15,3,15,0,0,119,20,7,14,0,0,15,0,0,26,9,0,28,82,8,0,10,10,11,10,0,0,18,0,0,15
178,1400000US26029000200,"Census Tract 2, Charlevoix County, Michigan",0,0,0,7,0,3,0,0,0,19,7,0,81,6,0,4,12,9,10,0,4,11,21,0,4,79,5,0,24,4,1,0,0,0,19,24,0,2
179,1400000US26029000300,"Census Tract 3, Charlevoix County, Michigan",0,0,6,0,15,13,0,7,11,31,24,8,145,0,0,2,5,18,20,0,0,29,44,7,20,166,6,0,2,6,2,19,0,0,48,11,48,24
180,1400000US26029000400,"Census Tract 4, Charlevoix County, Michigan",5,8,0,48,0,6,4,0,20,12,11,28,129,0,5,0,18,4,0,0,2,14,13,22,51,211,6,5,29,11,5,0,4,6,6,42,30,67
181,1400000US26029000500,"Census Tract 5, Charlevoix County, Michigan",3,0,0,1,0,1,0,0,0,4,0,1,19,0,0,0,3,0,0,0,0,2,9,0,5,29,0,6,0,3,6,7,0,0,2,5,0,0
